0,75;1636;27;0,028
0,75;1663;29;0,028
0,75;1525;19;0,028
0,75;1610;25;0,030
0,75;1545;20;0,028
0,75;1602;25;0,030
0,75;1683;31;0,029
0,75;1467;14;0,031
0,75;1683;31;0,037
0,75;1605;25;0,032
0,95;1537;20;0,161
0,95;1470;14;0,167
0,95;1410;10;0,183
0,95;1575;22;0,184
0,95;1547;20;0,175
0,95;1541;20;0,185
0,95;1650;28;0,167
0,95;1541;20;0,172
0,95;1423;11;0,178
0,95;1603;25;0,184
0,975;1486;16;0,352
0,975;1422;11;0,338
0,975;1425;11;0,347
0,975;1407;9;0,344
0,975;1441;12;0,367
0,975;1514;18;0,348
0,975;1484;15;0,373
0,975;1444;12;0,359
0,975;1532;19;0,343
0,975;1553;21;0,356
0,75;2012;25;0,042
0,75;2012;25;0,042
0,75;2012;25;0,042
0,75;2012;25;0,037
0,75;2012;25;0,036
0,75;2012;25;0,037
0,75;2012;25;0,042
0,75;2012;25;0,038
0,75;2012;25;0,039
0,75;2012;25;0,050
0,95;2012;25;0,240
0,95;2012;25;0,236
0,95;2012;25;0,245
0,95;2012;25;0,220
0,95;2012;25;0,241
0,95;2012;25;0,229
0,95;2012;25;0,204
0,95;2012;25;0,232
0,95;2012;25;0,215
0,95;2012;25;0,231
0,975;1797;12;0,460
0,975;2012;25;0,434
0,975;2012;25;0,452
0,975;1976;23;0,434
0,975;1998;24;0,480
0,975;1958;22;0,460
0,975;2012;25;0,447
0,975;2006;25;0,421
0,975;1938;21;0,427
0,975;2012;25;0,459
0,75;2639;44;0,045
0,75;2639;44;0,048
0,75;2639;44;0,042
0,75;2386;30;0,048
0,75;2639;44;0,043
0,75;2639;44;0,046
0,75;2639;44;0,046
0,75;2639;44;0,052
0,75;2574;40;0,042
0,75;2639;44;0,042
0,95;2639;44;0,266
0,95;2411;31;0,251
0,95;2360;28;0,281
0,95;2511;37;0,241
0,95;2379;29;0,271
0,95;2490;35;0,257
0,95;2639;44;0,293
0,95;2449;33;0,243
0,95;2300;25;0,262
0,95;2326;26;0,270
0,975;2350;28;0,523
0,975;2377;29;0,502
0,975;2403;31;0,507
0,975;2591;41;0,527
0,975;2334;27;0,528
0,975;2357;28;0,515
0,975;2468;34;0,522
0,975;2639;44;0,533
0,975;2435;32;0,507
0,975;2523;37;0,519
2000;1478;15;0,340
2000;1455;13;0,328
2000;1523;18;0,346
2000;1424;11;0,350
2000;1624;26;0,354
2000;1505;17;0,356
2000;1561;21;0,356
2000;1502;17;0,343
2000;1556;21;0,347
2000;1419;10;0,360
4000;1447;13;0,693
4000;1456;13;0,710
4000;1402;9;0,682
4000;1418;10;0,667
4000;1469;14;0,700
